id,scrape_date,strategy_type,tab_name,ticker,trigger_price,strike_price,strike_buy,strike_sell,estimated_premium,item_id,options_expiry_date,date_info,timestamp_of_trigger,strategy_status,price_when_triggered,triggered,trigger_price_value
21,2025-03-11T06:37:18.354431,Bear Call,Mild Risk 95-97% accuracy > longer expiry,None,None,None,0.0,0.0,None,None,2025-04-04,March,,,,,
19,2025-03-11T06:37:11.582974,Bear Call,Mild Risk 95-97% accuracy > shorter expiry,None,None,None,0.0,0.0,None,None,2025-03-28,March,,,,,
22,2025-03-11T06:37:21.735476,Bear Call,Minimal Risk 97-99% accuracy > longer expiry,None,None,None,0.0,0.0,None,None,2025-04-04,March,,,,,
20,2025-03-11T06:37:14.978989,Bear Call,Minimal Risk 97-99% accuracy > shorter expiry,None,None,None,0.0,0.0,None,None,2025-03-28,March,,,,,
30,2025-03-11T06:37:38.733450,Bull Put,Mild Risk 95-97% accuracy > longer expiry,GOOGL,157.54,sell 150.0 - buy 140.0,140.0,150.0,194.0,1,2025-04-04,March,,,165.57,,157.54
31,2025-03-11T06:37:38.833723,Bull Put,Mild Risk 95-97% accuracy > longer expiry,META,566.18,sell 520.0 - buy 510.0,510.0,520.0,125.0,2,2025-04-04,March,,,612.14,,566.18
32,2025-03-11T06:37:38.947439,Bull Put,Mild Risk 95-97% accuracy > longer expiry,TQQQ,53.11,sell 50.0 - buy 40.0,40.0,50.0,260.0,3,2025-04-04,March,,,61.4,,53.11
33,2025-03-11T06:37:39.038293,Bull Put,Mild Risk 95-97% accuracy > longer expiry,TSLA,201.16,sell 180.0 - buy 170.0,170.0,180.0,275.0,4,2025-04-04,March,,,235.99,,201.16
23,2025-03-11T06:37:31.244718,Bull Put,Mild Risk 95-97% accuracy > shorter expiry,AMZN,187.28,sell 180.0 - buy 170.0,170.0,180.0,260.0,1,2025-03-28,March,,,198.79,,187.28
24,2025-03-11T06:37:31.339697,Bull Put,Mild Risk 95-97% accuracy > shorter expiry,MSFT,369.01,sell 350.0 - buy 340.0,340.0,350.0,165.0,2,2025-03-28,March,,,383.89,,369.01
25,2025-03-11T06:37:31.430470,Bull Put,Mild Risk 95-97% accuracy > shorter expiry,SPY,550.38,sell 530.0 - buy 520.0,520.0,530.0,193.0,3,2025-03-28,March,,,561.43,,550.38
26,2025-03-11T06:37:31.546222,Bull Put,Mild Risk 95-97% accuracy > shorter expiry,TQQQ,54.62,sell 52.0 - buy 45.0,45.0,52.0,206.0,4,2025-03-28,March,,,61.4,,54.62
27,2025-03-11T06:37:31.675232,Bull Put,Mild Risk 95-97% accuracy > shorter expiry,TSLA,201.98,sell 180.0 - buy 170.0,170.0,180.0,254.0,5,2025-03-28,March,,,235.99,,201.98
34,2025-03-11T06:37:42.582742,Bull Put,Minimal Risk 97-99% accuracy > longer expiry,AAPL,218.42,sell 210.0 - buy 200.0,200.0,210.0,212.0,1,2025-04-04,March,,,222.04,,218.42
35,2025-03-11T06:37:42.740380,Bull Put,Minimal Risk 97-99% accuracy > longer expiry,MSFT,363.55,sell 345.0 - buy 335.0,335.0,345.0,198.0,2,2025-04-04,March,,,383.89,,363.55
36,2025-03-11T06:37:42.858503,Bull Put,Minimal Risk 97-99% accuracy > longer expiry,TSM,163.25,sell 155.0 - buy 145.0,145.0,155.0,172.0,3,2025-04-04,March,,,173.06,,163.25
37,2025-03-11T06:37:42.972899,Bull Put,Minimal Risk 97-99% accuracy > longer expiry,WMT,84.35,sell 82.0 - buy 75.0,75.0,82.0,157.0,4,2025-04-04,March,,,87.88,,84.35
28,2025-03-11T06:37:35.164973,Bull Put,Minimal Risk 97-99% accuracy > shorter expiry,NFLX,833.47,sell 770.0 - buy 760.0,760.0,770.0,195.0,1,2025-03-28,March,,,909.22,,833.47
29,2025-03-11T06:37:35.244906,Bull Put,Minimal Risk 97-99% accuracy > shorter expiry,WMT,84.59,sell 83.0 - buy 75.0,75.0,83.0,159.0,2,2025-03-28,March,,,87.88,,84.59
